Generation,Policy_Index,Fitness,Policy_JSON
1,0,320,"{""default"": ""do_nothing"", ""dist:close_pos:below_velo:rising"": ""do_nothing"", ""pos:below_velo:stable"": ""flap""}"
1,1,360,"{""default"": ""flap"", ""dist:medium_velo:rising"": ""flap""}"
1,2,320,"{""default"": ""do_nothing"", ""dist:medium"": ""do_nothing""}"
1,3,320,"{""default"": ""do_nothing"", ""velo:stable"": ""do_nothing"", ""dist:medium_velo:stable"": ""do_nothing""}"
1,4,10180,"{""default"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing""}"
1,5,360,"{""default"": ""flap"", ""dist:close_pos:below_velo:falling"": ""flap"", ""dist:close_velo:rising"": ""do_nothing""}"
1,6,440,"{""default"": ""do_nothing"", ""velo:rising"": ""flap"", ""pos:below_velo:falling"": ""flap""}"
1,7,320,"{""default"": ""do_nothing""}"
1,8,360,"{""default"": ""flap"", ""dist:close_velo:rising"": ""do_nothing"", ""dist:medium_pos:below"": ""flap""}"
1,9,320,"{""default"": ""do_nothing""}"
1,10,360,"{""default"": ""flap"", ""dist:close_pos:aligned_velo:stable"": ""do_nothing""}"
1,11,320,"{""default"": ""do_nothing""}"
1,12,360,"{""default"": ""flap"", ""dist:far"": ""flap""}"
1,13,360,"{""default"": ""flap"", ""dist:medium_velo:stable"": ""flap"", ""dist:far_pos:above_velo:rising"": ""flap""}"
1,14,360,"{""default"": ""flap"", ""dist:medium_velo:stable"": ""flap""}"
1,15,320,"{""default"": ""do_nothing"", ""dist:close"": ""flap"", ""dist:medium"": ""flap""}"
1,16,320,"{""default"": ""do_nothing""}"
1,17,320,"{""default"": ""do_nothing"", ""dist:far_pos:below_velo:stable"": ""flap""}"
1,18,320,"{""default"": ""do_nothing"", ""dist:medium"": ""flap""}"
1,19,360,"{""default"": ""flap""}"
2,0,11660,"{""default"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing""}"
2,1,320,"{""default"": ""do_nothing"", ""velo:rising"": ""flap"", ""pos:below_velo:falling"": ""flap""}"
2,2,360,"{""default"": ""flap"", ""dist:medium_velo:rising"": ""flap""}"
2,3,360,"{""default"": ""flap"", ""dist:close_pos:below_velo:falling"": ""flap"", ""dist:close_velo:rising"": ""do_nothing""}"
2,4,360,"{""default"": ""flap"", ""dist:close_velo:rising"": ""do_nothing"", ""dist:medium_pos:below"": ""flap""}"
2,5,320,"{""pos:below_velo:falling"": ""flap"", ""velo:rising"": ""flap"", ""dist:medium_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:close"": ""do_nothing""}"
2,6,360,"{""dist:close_velo:rising"": ""do_nothing"", ""dist:medium_pos:below"": ""do_nothing"", ""dist:close_pos:below_velo:falling"": ""flap"", ""default"": ""flap""}"
2,7,320,"{""dist:medium_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
2,8,430,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""flap"", ""default"": ""flap"", ""dist:far_pos:aligned_velo:stable"": ""flap""}"
2,9,1400,"{""dist:medium_pos:below"": ""flap"", ""dist:close_velo:rising"": ""flap"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
2,10,440,"{""pos:above"": ""flap"", ""velo:rising"": ""flap"", ""pos:below_velo:falling"": ""flap"", ""default"": ""do_nothing""}"
2,11,320,"{""pos:below_velo:falling"": ""flap"", ""velo:rising"": ""flap"", ""dist:medium_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:close_pos:aligned_velo:stable"": ""do_nothing""}"
2,12,440,"{""dist:medium_velo:rising"": ""flap"", ""default"": ""flap"", ""dist:far_pos:above_velo:stable"": ""do_nothing""}"
2,13,3370,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing""}"
2,14,320,"{""dist:close_velo:rising"": ""do_nothing"", ""dist:medium_pos:above_velo:falling"": ""flap"", ""dist:far_pos:aligned_velo:stable"": ""do_nothing"", ""default"": ""do_nothing""}"
2,15,320,"{""pos:above"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""flap"", ""default"": ""flap""}"
2,16,320,"{""dist:medium_pos:below"": ""flap"", ""dist:close_velo:rising"": ""do_nothing"", ""velo:rising"": ""flap"", ""pos:below_velo:falling"": ""flap"", ""default"": ""do_nothing"", ""dist:far_pos:below"": ""do_nothing""}"
2,17,18500,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
2,18,360,"{""dist:close_velo:rising"": ""do_nothing"", ""dist:close_pos:below_velo:falling"": ""flap"", ""velo:rising"": ""flap"", ""pos:below_velo:falling"": ""flap"", ""default"": ""flap""}"
